Day,Order sumary,,, Totals 
Sunday,Item,Quantity,Total,"$1,683.75 "
,501,29,,
,502,21,,
,503,27,,
,504,32,,
,505,4,,
,506,15,,
,507,25,,
,508,15,,
,509,30,,
,510,23,,
,511,12,,
,512,7,,
,513,98,,
,514,40,,
,515,10,,
,516,13,,
,517,27,,
,518,51,,
,519,24,,
,,,,
Monday,Item,Quantity,Total,"$1,314.25 "
,501,27,,
,502,18,,
,503,30,,
,504,13,,
,505,6,,
,506,1,,
,507,32,,
,508,17,,
,509,20,,
,510,50,,
,511,13,,
,512,7,,
,513,54,,
,514,32,,
,515,18,,
,516,14,,
,517,26,,
,518,34,,
,519,45,,
,,,,
Tuesday,Item,Quantity,Total,"$1,508.75 "
,501,34,,
,502,22,,
,503,40,,
,504,10,,
,505,9,,
,506,7,,
,507,10,,
,508,34,,
,509,45,,
,510,30,,
,511,4,,
,512,7,,
,513,60,,
,514,55,,
,515,33,,
,516,5,,
,517,67,,
,518,30,,
,519,30,,
,,,,
Wednesday,Item,Quantity,Total,"$1,818.30 "
,501,40,,
,502,38,,
,503,34,,
,504,20,,
,505,10,,
,506,9,,
,507,23,,
,508,16,,
,509,59,,
,510,25,,
,511,12,,
,512,5,,
,513,87,,
,514,51,,
,515,23,,
,516,13,,
,517,40,,
,518,50,,
,519,56,,
,,,,
Thursday,Item,Quantity,Total,"$2,319.10 "
,501,50,,
,502,50,,
,503,50,,
,504,33,,
,505,5,,
,506,7,,
,507,34,,
,508,27,,
,509,64,,
,510,40,,
,511,7,,
,512,6,,
,513,111,,
,514,68,,
,515,34,,
,516,14,,
,517,50,,
,518,72,,
,519,35,,
,,,,
Friday,Item,Quantity,Total,"$2,753.10 "
,501,54,,
,502,54,,
,503,53,,
,504,23,,
,505,19,,
,506,12,,
,507,45,,
,508,12,,
,509,80,,
,510,29,,
,511,10,,
,512,6,,
,513,104,,
,514,75,,
,515,56,,
,516,13,,
,517,43,,
,518,67,,
,519,47,,
,,,,
Saturday,Item,Quantity,Total,"$3,808.10 "
,501,97,,
,502,134,,
,503,145,,
,504,173,,
,505,111,,
,506,194,,
,507,65,,
,508,94,,
,509,121,,
,510,143,,
,511,87,,
,512,23,,
,513,121,,
,514,167,,
,515,202,,
,516,186,,
,517,98,,
,518,201,,
,519,78,,
